Patch_ID,OS_Type,Patch_Type,Patch_Severity,Systems_Affected,Server_Usage,Prev_Incidents,Patch_Size_MB,Applied_During_Peak,Pre_Health_Score,Post_Health_Score,Downtime_Mins,Result
P1310,RHEL,Bugfix,Low,12,Medium,1,336,No,100.0,98.0,3.4,Safe
P1311,RHEL,Feature,Critical,57,Low,0,168,No,98.6,89.6,9.2,Risky
P1312,RHEL,Bugfix,Low,76,High,0,399,No,58.9,51.3,7.7,Safe
P1313,Ubuntu,Feature,High,8,Medium,2,454,No,83.3,66.8,13.8,Risky
P1314,Ubuntu,Kernel,Critical,95,High,0,224,No,79.1,69.2,15.2,Risky
P1315,Windows,Security,Low,9,High,0,79,No,70.3,68.5,1.1,Safe
P1316,RHEL,Security,High,53,Low,0,104,No,89.6,85.5,4.3,Safe
P1317,RHEL,Security,Low,34,Low,2,410,No,83.2,78.5,4.2,Safe
P1318,RHEL,Bugfix,Medium,76,Medium,0,245,No,73.4,70.8,2.2,Safe
P1319,RHEL,Bugfix,Medium,67,Low,0,90,Yes,64.4,57.0,4.4,Safe
P1320,Windows,Kernel,Medium,51,High,0,222,No,78.9,75.7,2.5,Risky
P1321,Windows,Feature,Critical,30,Medium,0,379,No,85.1,72.6,14.6,Risky
P1322,Windows,Bugfix,Medium,61,High,0,268,No,83.8,77.6,7.8,Safe
P1323,RHEL,Security,Medium,41,Low,0,257,Yes,95.6,92.7,2.6,Safe
P1324,Ubuntu,Feature,High,11,Low,0,207,No,88.4,79.5,13.1,Risky
P1325,Windows,Kernel,Critical,44,Medium,1,382,Yes,81.6,67.3,14.3,Risky
P1326,Windows,Feature,Low,96,Low,0,277,No,76.8,74.3,2.7,Safe
P1327,Windows,Security,Critical,43,Medium,0,134,No,67.3,57.4,16.5,Risky
P1328,RHEL,Bugfix,Low,66,High,2,222,No,74.1,64.7,12.5,Safe
P1329,RHEL,Security,High,96,Medium,0,294,No,98.6,90.5,15.6,Safe
P1330,RHEL,Security,Low,82,Medium,0,409,No,93.6,89.8,4.0,Risky
P1331,Windows,Security,Low,57,Low,1,222,Yes,87.9,81.5,11.1,Safe
P1332,RHEL,Bugfix,Medium,8,Low,1,384,Yes,80.1,75.5,7.4,Risky
P1333,RHEL,Bugfix,Medium,86,High,3,261,No,97.4,94.5,5.3,Safe
P1334,RHEL,Security,Medium,29,High,0,133,No,74.9,70.5,8.5,Safe
P1335,RHEL,Security,Low,11,Medium,0,222,No,75.0,69.8,2.6,Risky
P1336,Ubuntu,Bugfix,Medium,32,High,0,232,No,84.1,81.4,1.7,Safe
P1337,Windows,Security,Critical,73,Medium,0,492,No,63.2,55.1,12.1,Risky
P1338,RHEL,Security,Medium,71,Low,1,182,No,74.6,68.2,7.0,Safe
P1339,RHEL,Bugfix,Low,99,Low,1,429,No,82.6,73.7,15.5,Safe
P1340,RHEL,Feature,Medium,24,High,0,337,No,80.4,70.3,5.2,Risky
P1341,RHEL,Security,Low,87,Low,1,311,No,75.1,66.0,15.6,Risky
P1342,RHEL,Security,High,15,Medium,0,399,No,100.0,96.1,2.7,Safe
P1343,RHEL,Security,High,71,Medium,2,331,No,98.6,95.3,3.1,Risky
P1344,RHEL,Kernel,Medium,91,Medium,1,342,No,100.0,97.2,5.5,Safe
P1345,Windows,Bugfix,Medium,11,Medium,2,318,No,84.0,80.3,2.2,Safe
P1346,Windows,Bugfix,High,27,Low,1,398,Yes,80.1,73.7,6.6,Risky
P1347,RHEL,Security,Medium,65,Low,0,246,Yes,100.0,100.0,0.0,Safe
P1348,RHEL,Bugfix,High,75,Medium,1,74,No,85.9,76.8,16.1,Safe
P1349,Windows,Security,Medium,38,Medium,2,190,No,74.4,62.7,18.1,Risky
P1350,Windows,Bugfix,High,23,Medium,1,272,No,75.1,66.6,14.5,Safe
P1351,Ubuntu,Kernel,Medium,62,Medium,0,69,No,81.8,78.7,3.9,Safe
P1352,Windows,Bugfix,Medium,13,Low,0,296,No,84.8,81.4,3.5,Safe
P1353,RHEL,Feature,Critical,52,High,0,377,No,85.8,75.0,5.4,Risky
P1354,RHEL,Feature,Medium,86,Medium,0,493,Yes,83.2,67.4,14.5,Risky
P1355,Windows,Security,Medium,45,Low,0,250,No,100.0,100.0,0.0,Safe
P1356,RHEL,Kernel,Low,52,Medium,2,454,Yes,71.5,56.8,22.0,Risky
P1357,Windows,Security,Medium,49,High,1,164,Yes,91.7,85.1,5.6,Safe
P1358,Ubuntu,Bugfix,Medium,29,High,0,432,No,80.2,76.1,2.9,Safe
P1359,Windows,Security,Low,82,Low,0,238,Yes,84.6,80.1,3.6,Safe
P1360,RHEL,Security,Low,29,Medium,1,75,No,94.4,92.2,2.2,Safe
P1361,Windows,Bugfix,Medium,23,Low,1,103,No,67.2,59.9,5.3,Safe
P1362,RHEL,Security,High,43,Low,0,219,No,75.5,68.5,5.2,Safe
P1363,Windows,Bugfix,Medium,83,Medium,0,444,No,83.7,79.9,2.1,Safe
P1364,Ubuntu,Bugfix,Low,84,Medium,0,470,No,99.8,98.9,1.5,Safe
P1365,RHEL,Security,Medium,31,Medium,0,430,Yes,99.7,93.8,4.9,Safe
P1366,Ubuntu,Security,Low,78,Low,1,60,Yes,97.8,92.9,8.4,Safe
P1367,Ubuntu,Bugfix,Medium,67,Low,0,76,No,63.1,59.0,4.7,Safe
P1368,RHEL,Security,Low,72,Medium,1,399,No,74.5,67.2,10.6,Safe
P1369,RHEL,Feature,Low,23,Low,1,132,Yes,74.9,66.0,5.5,Risky
P1370,RHEL,Bugfix,Low,32,Low,1,339,No,84.4,81.9,3.6,Safe
P1371,RHEL,Feature,Medium,89,Low,0,87,No,66.5,60.4,5.7,Safe
P1372,RHEL,Bugfix,Low,82,Medium,0,494,No,96.0,91.8,2.7,Safe
P1373,Windows,Bugfix,Medium,37,Low,0,136,Yes,65.1,61.3,6.9,Risky
P1374,RHEL,Bugfix,Medium,14,Medium,0,486,No,95.3,93.3,2.9,Safe
P1375,RHEL,Security,Medium,87,Low,0,370,No,93.7,89.8,3.4,Safe
P1376,Ubuntu,Security,Medium,34,Low,2,436,Yes,74.1,58.1,18.0,Risky
P1377,RHEL,Feature,High,26,Medium,2,205,Yes,97.6,86.5,11.5,Risky
P1378,Ubuntu,Bugfix,Low,7,Low,0,447,No,81.7,75.2,10.1,Safe
P1379,RHEL,Feature,Medium,86,Medium,2,357,No,79.1,66.0,18.4,Risky
P1380,RHEL,Feature,Low,79,Low,0,335,No,80.8,77.4,1.8,Safe
P1381,Windows,Feature,Low,52,Medium,0,235,No,81.6,73.3,6.7,Safe
P1382,Windows,Kernel,Medium,6,Low,1,231,No,82.6,72.2,12.6,Safe
P1383,Ubuntu,Bugfix,Medium,80,Low,2,418,No,82.8,74.6,9.6,Safe
P1384,Windows,Security,High,58,Medium,0,192,Yes,76.1,63.3,16.3,Risky
P1385,Ubuntu,Bugfix,Medium,10,High,0,471,No,78.4,75.8,4.1,Safe
P1386,RHEL,Security,Critical,44,Low,0,255,No,79.3,68.5,16.4,Risky
P1387,RHEL,Bugfix,Low,97,Medium,0,191,No,100.0,97.0,3.1,Safe
P1388,Windows,Feature,Low,98,Medium,1,234,No,79.3,74.2,9.2,Risky
P1389,Ubuntu,Bugfix,Low,6,Medium,0,492,No,78.6,74.9,2.2,Safe
P1390,Ubuntu,Security,Low,77,High,0,290,No,100.0,99.3,1.0,Safe
P1391,RHEL,Security,Medium,6,Low,1,57,No,81.8,80.3,2.9,Risky
P1392,RHEL,Bugfix,Medium,97,High,1,121,No,76.1,71.7,5.8,Safe
P1393,Windows,Security,Low,78,Medium,0,452,No,73.9,70.5,4.1,Safe
P1394,RHEL,Feature,Critical,59,Low,0,337,No,70.8,62.3,6.0,Risky
P1395,Ubuntu,Security,High,76,High,0,144,No,90.4,79.9,18.1,Safe
P1396,Ubuntu,Security,Low,64,Medium,1,206,Yes,67.0,54.8,12.9,Risky
P1397,RHEL,Security,Low,10,Medium,0,90,No,98.5,93.9,7.1,Risky
P1398,Windows,Bugfix,Low,23,Medium,1,380,Yes,84.1,78.4,4.5,Safe
P1399,Windows,Bugfix,Low,31,Medium,1,350,No,80.6,79.3,0.7,Safe
P1400,RHEL,Security,Low,5,Low,0,318,No,82.7,82.7,0.0,Safe
P1401,Ubuntu,Security,Medium,37,Medium,3,204,No,89.6,84.9,4.4,Safe
P1402,Windows,Bugfix,Low,44,Low,1,324,No,80.3,75.4,8.9,Safe
P1403,Ubuntu,Security,Medium,36,High,0,203,No,83.1,75.6,13.4,Safe
P1404,RHEL,Bugfix,Critical,73,High,1,102,No,95.5,85.4,13.2,Safe
P1405,Ubuntu,Bugfix,Medium,21,Medium,0,228,No,88.5,90.7,1.2,Safe
P1406,RHEL,Security,Critical,12,Medium,0,470,No,72.5,61.2,9.5,Risky
P1407,RHEL,Security,Low,61,Low,1,289,No,77.9,66.4,16.8,Safe
P1408,Ubuntu,Kernel,Medium,46,Low,0,186,No,67.2,55.9,7.3,Safe
P1409,RHEL,Bugfix,Medium,13,High,0,304,No,91.2,90.3,1.4,Safe
P1410,RHEL,Bugfix,Low,91,Low,0,273,Yes,92.2,86.3,3.1,Risky
P1411,Ubuntu,Security,Low,39,Medium,1,229,No,75.7,68.9,10.3,Safe
P1412,Ubuntu,Bugfix,Medium,75,High,0,231,No,100.0,96.8,5.6,Safe
P1413,Windows,Security,Medium,83,High,1,308,No,100.0,100.0,0.0,Safe
P1414,Windows,Bugfix,Medium,57,Medium,0,292,No,85.2,82.0,5.6,Safe
P1415,RHEL,Kernel,Medium,58,Medium,1,145,Yes,77.0,69.7,12.2,Safe
P1416,RHEL,Security,Medium,88,Medium,0,246,No,87.7,84.1,5.4,Safe
P1417,RHEL,Security,Low,29,High,1,441,Yes,76.8,69.7,8.3,Risky
P1418,Windows,Security,Medium,71,Medium,3,63,Yes,94.5,92.9,1.4,Safe
P1419,Windows,Security,Low,66,Medium,1,169,No,86.7,81.8,8.7,Safe
P1420,Windows,Security,Low,59,Low,0,436,No,87.4,81.0,9.3,Safe
P1421,Windows,Security,Critical,50,Low,1,457,No,100.0,94.0,10.2,Safe
P1422,RHEL,Feature,Medium,28,Medium,0,318,No,78.8,70.5,11.0,Safe
P1423,RHEL,Bugfix,High,50,High,0,220,No,79.2,77.3,1.4,Safe
P1424,RHEL,Security,Medium,26,High,0,462,No,93.6,90.7,5.7,Safe
P1425,Windows,Kernel,Medium,15,High,0,121,Yes,80.8,75.7,3.9,Safe
P1426,RHEL,Security,Low,52,Medium,2,228,No,100.0,100.0,0.0,Safe
P1427,Ubuntu,Kernel,Low,12,Medium,1,219,No,95.0,88.5,5.3,Risky
P1428,RHEL,Security,Low,43,High,0,208,No,81.3,78.7,2.7,Safe
P1429,RHEL,Feature,High,39,Medium,0,496,Yes,66.9,60.5,7.4,Risky
P1430,RHEL,Bugfix,Medium,53,Low,1,203,Yes,70.5,63.8,12.6,Safe
P1431,Windows,Feature,Medium,50,Medium,0,451,No,80.2,72.9,13.4,Safe
P1432,Windows,Kernel,Medium,42,High,1,131,No,89.0,79.1,17.2,Safe
P1433,RHEL,Security,Critical,12,Low,1,106,No,96.0,86.4,10.3,Safe
P1434,RHEL,Kernel,Low,58,High,0,56,No,82.8,79.3,1.8,Safe
P1435,Windows,Security,Low,41,Low,0,161,No,76.1,72.4,5.6,Safe
P1436,RHEL,Security,Medium,95,Medium,1,97,No,83.6,81.1,2.7,Safe
P1437,Ubuntu,Security,High,96,Medium,0,129,No,85.2,80.8,7.2,Safe
P1438,Windows,Bugfix,Critical,44,Medium,0,424,Yes,98.0,90.8,12.2,Risky
P1439,RHEL,Security,Low,38,Medium,1,425,No,97.5,93.3,4.9,Risky
P1440,RHEL,Bugfix,High,83,High,2,365,No,75.0,57.8,27.8,Safe
P1441,Ubuntu,Bugfix,High,21,Medium,1,82,Yes,89.5,77.9,20.4,Safe
P1442,RHEL,Feature,Low,37,Low,0,164,Yes,76.5,70.4,11.4,Risky
P1443,RHEL,Feature,Medium,51,Medium,1,433,Yes,76.7,68.7,11.1,Risky
P1444,Ubuntu,Bugfix,Medium,56,Low,0,52,No,95.4,93.0,4.0,Safe
P1445,Ubuntu,Security,Critical,84,Low,3,53,No,83.0,68.7,17.8,Risky
P1446,Ubuntu,Security,Low,97,Medium,1,405,No,91.4,85.0,3.6,Safe
P1447,Windows,Security,High,13,High,0,309,No,90.3,87.8,1.8,Safe
P1448,RHEL,Security,Medium,37,Medium,1,91,No,84.2,79.5,3.2,Risky
P1449,RHEL,Security,High,64,Medium,0,58,No,88.3,81.8,4.9,Safe
P1450,Windows,Security,Medium,97,Medium,0,356,Yes,87.0,85.1,1.0,Safe
P1451,Windows,Kernel,Medium,81,Low,0,194,No,73.5,63.4,18.1,Safe
P1452,RHEL,Bugfix,High,25,High,1,450,No,89.9,84.2,7.6,Risky
P1453,Ubuntu,Security,High,62,Medium,0,146,No,77.9,73.7,4.5,Safe
P1454,RHEL,Bugfix,High,89,High,0,325,No,74.3,65.8,9.4,Safe
P1455,RHEL,Security,Low,73,Low,1,191,No,93.5,93.1,0.6,Safe
P1456,RHEL,Bugfix,Medium,14,Low,2,327,No,79.1,68.5,6.5,Risky
P1457,RHEL,Bugfix,Low,10,High,0,485,Yes,96.1,90.1,5.5,Risky
P1458,RHEL,Bugfix,Medium,17,Medium,0,76,No,96.0,96.4,0.7,Safe
P1459,RHEL,Bugfix,Medium,69,Low,1,92,Yes,80.2,71.8,13.7,Safe
P1460,RHEL,Kernel,Medium,24,Low,0,180,No,95.7,90.9,6.5,Safe
P1461,Windows,Feature,Medium,61,High,0,265,No,81.1,78.1,3.7,Risky
P1462,Windows,Bugfix,Critical,50,Medium,0,143,No,84.3,77.1,6.4,Risky
P1463,Windows,Bugfix,Low,12,Medium,0,57,No,89.9,91.1,1.4,Safe
P1464,Ubuntu,Bugfix,Medium,14,Low,1,135,No,100.0,100.0,0.0,Safe
P1465,RHEL,Security,Medium,77,Medium,2,394,No,94.4,92.9,2.3,Safe
P1466,RHEL,Security,Low,71,High,0,187,No,84.4,82.7,1.3,Safe
P1467,Ubuntu,Security,Low,15,Low,2,418,No,86.0,75.2,18.7,Safe
P1468,RHEL,Bugfix,Critical,16,Medium,1,462,No,69.2,62.4,6.9,Risky
P1469,Ubuntu,Bugfix,High,14,High,0,473,No,95.0,85.6,11.8,Safe
P1470,RHEL,Security,Critical,29,Low,1,295,No,94.0,84.2,13.8,Risky
P1471,Ubuntu,Kernel,Critical,53,Medium,0,498,No,87.8,74.3,16.7,Risky
P1472,RHEL,Kernel,Low,53,Medium,0,70,No,92.2,88.5,5.0,Safe
P1473,Ubuntu,Feature,Medium,93,Medium,0,457,No,64.7,53.6,7.4,Safe
P1474,Windows,Bugfix,Medium,15,Medium,1,493,No,74.2,62.7,13.1,Safe
P1475,Ubuntu,Feature,Medium,66,Medium,2,459,Yes,100.0,87.3,11.7,Safe
P1476,RHEL,Security,Medium,40,Medium,0,314,No,82.4,81.0,0.9,Safe
P1477,Windows,Feature,Medium,43,Medium,0,197,No,92.6,84.8,6.1,Safe
P1478,Ubuntu,Security,Medium,57,Medium,0,233,Yes,77.5,72.5,7.0,Safe
P1479,Windows,Feature,Medium,94,Low,0,276,No,80.6,74.9,4.5,Safe
P1480,Windows,Security,Low,82,Medium,2,341,No,100.0,93.2,5.2,Safe
P1481,Windows,Feature,Medium,60,High,1,85,Yes,83.4,71.7,15.5,Risky
P1482,RHEL,Kernel,Medium,5,Medium,1,295,Yes,90.2,79.0,20.8,Safe
P1483,Windows,Security,Medium,60,Medium,0,122,No,86.3,86.8,0.9,Safe
P1484,Windows,Bugfix,Low,8,Medium,0,199,Yes,87.5,79.1,15.5,Safe
P1485,Ubuntu,Kernel,High,34,High,2,50,No,87.1,76.3,14.9,Risky
P1486,RHEL,Bugfix,Low,16,High,2,118,No,65.2,55.7,10.7,Risky
P1487,RHEL,Feature,Medium,39,Low,0,342,No,89.8,84.9,7.7,Safe
P1488,Ubuntu,Bugfix,High,81,Medium,0,279,No,79.6,70.4,8.2,Safe
P1489,Ubuntu,Security,Medium,56,Medium,0,260,No,100.0,96.2,2.3,Safe
P1490,RHEL,Security,Low,35,Medium,0,121,No,77.3,73.5,3.9,Safe
P1491,Windows,Security,Medium,91,Low,1,412,No,80.3,77.0,3.1,Safe
P1492,RHEL,Feature,Medium,72,High,0,145,No,100.0,98.5,2.3,Safe
P1493,RHEL,Security,High,56,Low,1,446,No,92.2,83.2,12.0,Safe
P1494,RHEL,Bugfix,High,84,Medium,0,133,No,75.2,67.4,5.5,Safe
P1495,RHEL,Bugfix,Medium,11,Medium,1,277,No,86.8,84.3,4.6,Risky
P1496,Windows,Bugfix,Medium,26,Low,0,348,No,72.8,64.1,12.1,Risky
P1497,RHEL,Feature,Low,97,High,0,285,No,87.6,83.6,4.7,Safe
P1498,Ubuntu,Kernel,Low,79,High,1,342,No,77.0,63.9,24.9,Risky
P1499,Ubuntu,Bugfix,Medium,60,Medium,0,271,Yes,100.0,92.3,4.9,Safe
P1500,Windows,Feature,Medium,62,Medium,1,272,No,89.2,80.9,14.0,Risky
P1501,Windows,Feature,Medium,97,Low,0,330,No,90.3,86.6,3.8,Safe
P1502,RHEL,Bugfix,Low,68,Medium,0,270,No,94.5,87.9,10.2,Safe
P1503,Ubuntu,Kernel,Low,16,Low,2,265,No,95.6,91.5,7.7,Safe
P1504,Windows,Security,Medium,11,Medium,0,280,No,78.1,71.3,8.7,Safe
P1505,RHEL,Security,Low,59,High,0,454,No,85.9,81.9,2.2,Safe
P1506,Ubuntu,Feature,High,66,Low,0,218,No,80.5,70.2,5.6,Risky
P1507,Ubuntu,Bugfix,Low,94,High,0,378,Yes,100.0,93.6,6.4,Safe
P1508,Ubuntu,Feature,Medium,77,Low,1,475,No,62.1,46.4,26.3,Risky
P1509,Windows,Feature,Critical,81,High,0,91,Yes,79.2,64.2,14.1,Risky
P1510,Windows,Security,Low,59,Low,0,307,No,84.2,80.2,4.0,Safe
P1511,RHEL,Feature,Medium,40,Medium,0,245,Yes,86.4,76.0,17.3,Safe
P1512,Ubuntu,Bugfix,Low,93,Low,0,441,No,86.2,82.7,2.3,Safe
P1513,Ubuntu,Bugfix,Medium,28,High,0,145,No,84.5,82.5,3.6,Safe
P1514,RHEL,Bugfix,Medium,48,Medium,1,366,No,83.4,78.5,4.4,Safe
P1515,RHEL,Kernel,Medium,21,Low,0,63,No,87.4,88.8,0.8,Safe
P1516,RHEL,Security,Medium,6,Medium,0,162,No,89.6,88.2,0.9,Safe
P1517,Ubuntu,Bugfix,High,17,Medium,0,126,Yes,100.0,95.2,9.2,Safe
P1518,Ubuntu,Bugfix,Low,35,Medium,0,326,No,100.0,100.0,0.0,Safe
P1519,RHEL,Feature,Low,97,High,1,457,No,88.0,75.7,10.9,Risky
P1520,Windows,Bugfix,High,32,Medium,1,483,Yes,80.0,66.1,17.8,Risky
P1521,RHEL,Security,Medium,64,Low,2,478,No,80.7,73.3,11.4,Risky
P1522,Ubuntu,Security,High,31,Low,2,497,No,71.9,52.6,18.8,Risky
P1523,Ubuntu,Security,Medium,19,Medium,0,369,Yes,94.5,88.1,10.2,Safe
P1524,Ubuntu,Feature,High,99,Medium,1,459,No,84.6,70.4,12.4,Risky
P1525,RHEL,Security,Medium,83,Medium,1,209,Yes,89.4,87.7,1.1,Safe
P1526,RHEL,Security,High,37,Low,1,362,No,88.3,77.6,14.3,Safe
P1527,RHEL,Kernel,Critical,24,Medium,0,168,No,78.0,65.3,9.2,Risky
P1528,RHEL,Security,Medium,46,High,0,486,No,76.8,74.6,4.1,Safe
P1529,Ubuntu,Kernel,Low,16,Low,0,210,No,80.5,76.6,2.0,Safe
P1530,Ubuntu,Bugfix,Low,77,Medium,0,357,No,89.9,91.8,3.1,Risky
P1531,Ubuntu,Feature,Low,27,Medium,0,400,No,84.2,81.2,2.8,Safe
P1532,Ubuntu,Security,Low,76,Medium,1,195,No,67.3,64.6,4.8,Safe
P1533,Windows,Security,Medium,18,Low,1,212,No,74.8,70.0,2.8,Safe
P1534,Windows,Feature,Medium,95,Medium,0,445,Yes,82.3,70.6,22.6,Risky
P1535,Ubuntu,Feature,Medium,29,High,0,228,Yes,84.7,72.3,8.1,Risky
P1536,Ubuntu,Feature,Medium,81,Low,2,138,No,90.2,81.5,14.5,Safe
P1537,RHEL,Security,Medium,89,Medium,0,272,No,85.4,82.3,4.0,Safe
P1538,RHEL,Feature,Low,35,Low,3,315,No,81.4,71.5,11.3,Risky
P1539,RHEL,Feature,Low,58,Medium,0,288,No,81.0,72.2,8.1,Safe
P1540,Ubuntu,Bugfix,Low,9,Medium,0,357,No,87.0,81.8,9.3,Safe
P1541,Windows,Feature,Medium,17,Medium,0,83,No,89.2,82.7,5.2,Risky
P1542,RHEL,Feature,Low,32,Low,0,420,No,81.7,71.7,15.9,Safe
P1543,Windows,Bugfix,Low,47,Medium,0,216,No,74.2,71.3,3.4,Safe
P1544,Windows,Security,Medium,93,Medium,0,441,Yes,84.0,79.6,8.8,Safe
P1545,RHEL,Bugfix,High,51,Medium,0,174,No,78.5,72.0,9.1,Safe
P1546,RHEL,Security,Low,75,Medium,0,273,No,87.9,81.2,4.4,Safe
P1547,Windows,Bugfix,Medium,42,Medium,0,462,No,99.8,96.4,3.8,Safe
P1548,Windows,Bugfix,Medium,71,High,0,199,No,71.5,69.6,1.1,Safe
P1549,Windows,Security,High,66,Medium,0,238,No,96.5,90.0,6.1,Safe
P1550,Windows,Security,Critical,43,Medium,2,92,No,89.7,84.5,5.3,Risky
P1551,Ubuntu,Security,Low,41,High,0,482,Yes,96.0,92.1,7.0,Safe
P1552,Windows,Feature,Low,90,Low,0,78,No,80.6,75.6,8.8,Safe
P1553,Windows,Kernel,High,12,Low,1,411,No,70.5,52.6,9.3,Risky
P1554,Ubuntu,Security,Medium,85,Medium,0,169,No,86.8,84.2,3.4,Safe
P1555,RHEL,Kernel,Medium,56,Medium,1,386,No,99.0,98.4,0.5,Safe
P1556,RHEL,Bugfix,Medium,95,High,0,80,Yes,74.4,65.4,8.8,Safe
P1557,RHEL,Security,Medium,37,High,0,230,No,75.9,71.5,2.4,Safe
P1558,Windows,Security,Critical,85,Medium,0,211,No,90.9,87.5,5.5,Safe
P1559,Windows,Bugfix,Critical,46,Medium,0,177,No,79.9,67.0,24.8,Risky
P1560,Windows,Feature,High,80,Medium,1,304,No,100.0,87.6,10.3,Safe
P1561,RHEL,Feature,Low,31,Low,1,343,Yes,91.5,73.8,17.9,Risky
P1562,RHEL,Security,High,12,Medium,0,490,Yes,77.8,68.7,7.4,Risky
P1563,RHEL,Security,Low,27,Medium,0,406,No,79.4,76.2,5.9,Safe
P1564,RHEL,Bugfix,Low,68,Medium,0,437,No,79.7,73.1,3.4,Safe
P1565,Windows,Security,High,97,Low,0,303,No,84.6,72.8,16.2,Safe
P1566,RHEL,Security,Low,24,Low,0,179,No,88.0,88.2,0.3,Safe
P1567,RHEL,Security,Low,20,Low,1,61,Yes,87.3,82.6,3.7,Safe
P1568,Ubuntu,Feature,Low,21,High,0,84,Yes,73.8,65.2,11.8,Risky
P1569,RHEL,Kernel,High,84,Low,0,247,No,94.0,85.6,4.9,Risky
P1570,Windows,Bugfix,Medium,23,High,0,297,No,82.1,80.5,2.7,Safe
P1571,Windows,Kernel,Medium,12,Medium,0,159,No,75.7,69.8,5.4,Safe
P1572,RHEL,Security,Low,42,Medium,0,377,No,80.4,73.5,13.6,Safe
P1573,Windows,Bugfix,High,42,Medium,0,454,No,95.1,91.8,6.3,Safe
P1574,Ubuntu,Security,High,57,Medium,0,294,Yes,86.9,80.5,10.2,Safe
P1575,Ubuntu,Bugfix,Medium,97,Medium,1,299,No,87.8,86.8,1.2,Risky
P1576,RHEL,Kernel,Medium,94,Medium,0,415,Yes,73.3,64.4,14.6,Risky
P1577,Ubuntu,Bugfix,Low,35,Medium,2,366,No,86.3,79.9,4.4,Safe
P1578,RHEL,Security,Critical,48,Medium,0,212,No,95.0,85.2,9.4,Safe
P1579,RHEL,Bugfix,Medium,64,Medium,1,97,No,67.0,60.4,3.6,Safe
P1580,RHEL,Security,Critical,80,Low,0,448,No,81.1,76.8,6.3,Risky
P1581,Ubuntu,Feature,Medium,21,Medium,1,120,No,91.2,86.5,8.1,Safe
P1582,RHEL,Bugfix,High,83,High,2,448,No,86.6,73.8,24.5,Risky
P1583,RHEL,Bugfix,High,77,Low,1,183,Yes,74.8,61.6,20.3,Risky
P1584,Windows,Bugfix,Medium,43,Low,0,288,Yes,89.0,81.7,11.6,Safe
P1585,RHEL,Bugfix,Critical,46,Low,1,117,No,73.3,60.6,23.5,Risky
P1586,RHEL,Security,Medium,52,Medium,3,327,No,76.3,65.7,20.3,Risky
P1587,RHEL,Bugfix,Low,16,Low,0,81,No,77.4,78.4,1.3,Safe
P1588,RHEL,Security,Medium,93,Medium,0,172,Yes,100.0,100.0,0.0,Safe
P1589,RHEL,Feature,High,22,Low,1,71,No,68.3,63.7,5.5,Risky
P1590,RHEL,Feature,Medium,83,Low,0,204,Yes,69.0,58.3,14.3,Risky
P1591,Windows,Feature,Low,10,Medium,0,159,No,87.8,80.0,11.3,Safe
P1592,RHEL,Bugfix,Medium,47,Low,2,320,No,86.0,84.6,2.9,Safe
P1593,RHEL,Bugfix,Medium,39,High,0,429,No,80.3,81.6,2.4,Risky
P1594,Ubuntu,Security,Medium,58,Low,1,349,No,85.1,77.4,8.4,Safe
P1595,RHEL,Feature,Medium,66,Medium,0,164,No,74.4,65.6,5.9,Safe
P1596,Windows,Security,High,73,Low,0,269,Yes,85.9,78.0,6.5,Risky
P1597,RHEL,Bugfix,Low,86,Medium,0,279,No,87.1,80.1,5.3,Safe
P1598,RHEL,Security,Medium,20,High,0,301,No,97.1,92.8,4.5,Risky
P1599,RHEL,Security,Low,12,High,1,298,No,100.0,100.0,0.0,Safe
P1600,RHEL,Bugfix,Low,93,Low,1,58,No,82.3,76.8,6.4,Safe
P1601,RHEL,Security,High,94,Medium,0,83,No,72.3,68.8,4.6,Safe
P1602,RHEL,Feature,Critical,90,Medium,0,277,No,88.8,76.2,9.7,Risky
P1603,RHEL,Security,Medium,35,Low,0,122,Yes,83.7,81.1,3.2,Safe
P1604,RHEL,Security,High,14,Low,0,448,No,83.2,74.6,15.6,Safe
P1605,RHEL,Bugfix,High,60,High,0,495,No,68.9,58.1,17.9,Risky
P1606,RHEL,Security,High,80,High,0,350,No,86.0,76.7,5.7,Safe
P1607,RHEL,Security,Low,96,High,0,261,No,89.2,89.2,0.1,Safe
P1608,Windows,Feature,Critical,74,Medium,1,121,No,94.9,82.3,11.5,Risky
P1609,Windows,Security,Medium,24,Medium,0,107,No,79.9,81.6,2.5,Safe
P1610,RHEL,Feature,Medium,9,Low,1,269,No,76.7,60.9,11.4,Risky
P1611,Windows,Security,Low,27,Low,2,420,Yes,79.9,66.9,19.6,Risky
P1612,Windows,Security,Medium,13,Low,3,324,No,94.3,93.3,0.6,Safe
P1613,RHEL,Feature,Low,62,Medium,0,298,No,98.9,93.7,7.2,Safe
P1614,Ubuntu,Security,Low,63,Medium,1,65,No,96.2,94.2,2.9,Safe
P1615,Ubuntu,Security,Medium,97,High,0,124,No,91.5,90.1,1.2,Safe
P1616,RHEL,Security,High,84,High,0,155,No,84.7,77.4,13.9,Safe
P1617,RHEL,Security,High,58,High,0,185,Yes,86.2,77.0,5.3,Risky
P1618,Ubuntu,Feature,Medium,50,High,0,466,Yes,87.7,78.9,16.2,Risky
P1619,Windows,Security,High,26,Low,2,123,Yes,82.5,71.2,12.1,Safe
P1620,RHEL,Feature,High,68,Medium,2,303,No,93.9,84.3,15.1,Risky
P1621,RHEL,Feature,High,12,Medium,0,67,No,68.5,63.3,7.7,Risky
